Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
41229-17119,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,055-060,,,4422,,Holocene,3,F7,0.526,6.2,-12.2,,,11.6,34.9,3,,x
41229-17286,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,110-115,,,8045,,Holocene,2,D9,0.525,5.1,-12.1,,,14.9,43.6,2.9,,x
41229-17316,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,120-125,,,8704,,Holocene,2,C10,0.584,7.1,-12.1,,,13.1,38.2,2.9,,x
908-3938,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,Disturbed fill,,,,,,1,B8,0.579,10.1,-12,,,15.3,43.3,2.8,,x
41229-11094,Large,Carnivore,Canis,cf. latrans,Canis,latrans,13406,TMM,Hall's Cave,195-200,,,13645,,Pleistocene,1,A1,0.514,12.3,-11.9,,,15.9,43.5,2.7,,x
41229-17421,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,145-150,,,10351,,Holocene,2,D7,0.526,5.6,-11.9,,,15,43.8,2.9,,x
908-3850,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 8-9",,,3000,,Holocene,5,G7,0.593,6.2,-11.9,,,14.6,41.7,2.8,,x
908-2139,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 9-10",,,3000,,Holocene,5,H2,0.519,6.5,-11.9,,,13.8,41.4,3,,x
892-256,Large,Carnivore,Canis,lupus,Canis,lupus,37000,TMM,Lubbock Lake,?Shed 5,,,,,,5,F3,0.517,10.1,-11.9,,,13,38.8,3,,x
41229-10876,Large,Carnivore,Canis,sp.,Canis,sp.,37000,TMM,Hall's Cave,190-195,,,13315,,Pleistocene,1,B1,0.564,12.3,-11.8,,,15.5,43.2,2.8,,x
908-250,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-B, 7-8",,,3000,,Holocene,4,E9,0.545,6.9,-11.8,,,14.8,44,3,,x
908-4294,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,Disturbed fill; #288,,,,,,1,C6,0.523,9.2,-11.7,,,15.2,42.7,2.8,,x
unknown dark,,NA,NA,,,,,TMM,NA,NA,,,,,,6,B12,0.538,NA,-11.7,,,0.3,6.6,21.9,,x
43133-1426,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Bering Sinkhole,,,,4950,,Holocene,1,E10,0.256,9.2,-11.6,,,15.5,42.5,2.7,,x
41229-4004,Large,Carnivore,Canis,cf. latrans,Canis,latrans,13406,TMM,Hall's Cave,055-060,,,4422,,Holocene,1,D5,0.48,9.6,-11.6,,,15.5,43.5,2.8,,x
908-2140,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 9-10",,,3000,,Holocene,5,D9,0.52,6.4,-11.5,,,15.2,43.7,2.9,,x
908-4353,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,Disturbed Fill,,,,,,4,A2,0.561,6.5,-11.5,,,12.9,37.1,2.9,,x
40450-2552,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Cave Without A Name,Late Pleistocene,,,13000,,Pleistocene,5,F5,0.543,9.6,-11.4,,,7.6,25.4,3.3,,x
