Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
TMM-933-1013,933-1013,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-7.99,-1.19,30.4,,,0,,Koch.2004
TMM-933-1284,933-1284,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.68,-3.88,28.49,,,0,,Koch.2004
TMM-933-1309,933-1309,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.5,-1.7,28.14,,,0,,Koch.2004
TMM-933-133,933-133,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-11.89,-5.09,29.93,,,0,,Koch.2004
TMM-933-1505,933-1505,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-6.94,-0.14,30.12,,,0,,Koch.2004
TMM-933-1506,933-1506,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.01,-1.21,29.17,,,0,,Koch.2004
TMM-933-1507,933-1507,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.15,-3.35,29.32,,,0,,Koch.2004
TMM-933-2014,933-2014,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-6.82,-0.02,30.01,,,0,,Koch.2004
TMM-933-2015,933-2015,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.19,-1.39,28.91,,,0,,Koch.2004
TMM-933-2022,933-2022,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.67,-3.87,30.21,,,0,,Koch.2004
TMM-933-209A,933-209A,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.69,-3.89,28.39,,,0,,Koch.2004
TMM-933-209B,933-209B,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.89,-4.09,28.32,,,0,,Koch.2004
TMM-933-2198,933-2198,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.9,-2.1,30.98,,,0,,Koch.2004
