Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Onychomys leucogaster	41229-7269	070-075	LM1-LEFT	5410	5739	5575						1.731	25.21733283									4						
Onychomys leucogaster	41229-7270	070-075	LM1-RIGHT	5410	5739	5575						1.950	37.50942294									4						
Onychomys leucogaster	41229-7271	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-7272	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-7273	070-075	UM1-LEFT	5410	5739	5575						1.910	35.00573786									4						
Onychomys leucogaster	41229-7274	070-075	UM1-LEFT	5410	5739	5575						2.067	45.54962772									4						
Onychomys leucogaster	41229-7275	070-075	UM1-LEFT	5410	5739	5575						1.942	36.99897494									4						
Onychomys leucogaster	41229-7276	070-075	UM1-LEFT	5410	5739	5575						1.962	38.2843079									4						
Onychomys leucogaster	41229-7292	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-7293	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-7296	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-7297	070-075	no m1	5410	5739	5575																4						
Lepus californicus	41229-704	070-075		5410	5739	5575																4						
Lepus californicus	41229-7460	070-075		5410	5739	5575																4						
Lepus californicus	41229-7461	070-075		5410	5739	5575																4						
Lepus californicus	41229-7462	070-075		5410	5739	5575																4						
Lepus californicus	41229-9915	070-075		5410	5739	5575																4						
Lepus californicus	41229-1305	075-080		5739	6069	5904									-19.9	3.8	32.5	10.5	3.1		y	4						
Sigmodon hispidus	41229-752	075-080	LM1-LEFT	5739	6069	5904	2.45	2.42		2.44	0.02	2.34	77.7	77.7	-19.4	4.5	40.5	14.4	2.8	-20.9	y	4	5					
Sigmodon hispidus	41229-14906	075-080	LM1-LEFT	5739	6069	5904	2.45	2.4		2.43	0.04	2.52	76.6	76.6	-19.4	4.7	33.7	11.4	3.0	-20.9	y	4	5					
Sigmodon hispidus	41229-755	075-080	LM1-RIGHT	5739	6069	5904		2.69	2.62	2.66	0.05	2.55	103.4	103.4	-19.3	6.1	40.9	14.0	2.9	-20.8	y	4	5					
Sigmodon hispidus	41229-1308	075-080	LM1-RIGHT	5739	6069	5904	2.52	2.51		2.52	0.01	2.36	86.5	86.5	-18.1	5.6	38.2	13.3	2.9	-19.6	y	4	5					
Sigmodon hispidus	41229-754	075-080	LM1-RIGHT	5739	6069	5904	2.57	2.67	2.62	2.62	0.05		99.0	99.0	-18.0	4.3	41.9	14.6	2.9	-19.5	y	4	5					
Sigmodon hispidus	41229-753	075-080	LM1-RIGHT	5739	6069	5904	2.62	2.65	2.61	2.63	0.02		99.8	99.8	-17.1	5.2	40.4	14.4	2.8	-18.6	y	4	5					
Sigmodon hispidus	41229-761	075-080	UM1-LEFT	5739	6069	5904	2.44	2.49	2.43	2.45	0.03		79.6	88.8	-17.1	5.2	41.4	14.5	2.9	-18.6	y	4	5					
Sigmodon hispidus	41229-759	075-080	LM1-RIGHT	5739	6069	5904		2.42	2.43	2.43	0.01	2.59	76.6	76.6	-16.9	6.3	37.0	12.9	2.9	-18.4	y	4	5					
Sigmodon hispidus	41229-14909	075-080	UM1-RIGHT	5739	6069	5904	2.5	2.48	2.53	2.50	0.03		85.1	94.9	-16.9	5.6	42.6	14.8	2.9	-18.4	y	4	5					
Sigmodon hispidus	41229-14899	075-080	UM1-LEFT	5739	6069	5904	2.48		2.52	2.50	0.03	2.68	84.8	94.6	-16.8	6.6	41.7	14.3	2.9	-18.3	y	4	5					
Sigmodon hispidus	41229-14904	075-080		5739	6069	5904									-16.7	6.6	40.9	14.1	2.9	-18.2	y	4	5					
Sigmodon hispidus	41229-14907	075-080		5739	6069	5904									-15.9	5.6	39.0	13.0	3.0	-17.4	y	4	5					
Sigmodon hispidus	41229-14902	075-080		5739	6069	5904									-15.8	6.3	43.8	14.9	2.9	-17.3	y	4	5					
Sigmodon hispidus	41229-14898	075-080	UM1-LEFT	5739	6069	5904	2.4	2.47	2.41	2.43	0.04		76.8	85.7	-14.6	4.8	41.2	14.5	2.8	-16.1	y	4	5					
Sigmodon hispidus	41229-751	075-080	LM1-LEFT	5739	6069	5904	2.66	2.59	2.65	2.63	0.04		100.7	100.7	-14.5	6.3	41.0	14.5	2.8	-16.0	y	4	5					
Sigmodon hispidus	41229-762	075-080	UM1-LEFT	5739	6069	5904	2.32		2.3	2.31	0.01	2.17	65.2	72.7	-14.4	5.2	40.5	14.1	2.9	-15.9	y	4	5					
Sigmodon hispidus	41229-14900	075-080		5739	6069	5904									-14.2	5.5	36.4	12.1	3.0	-15.7	y	4	5					
Sigmodon hispidus	41229-756	075-080	LM1-RIGHT	5739	6069	5904	2.34	2.37		2.36	0.02	2.46	69.5	69.5	-14.0	5.1	40.1	13.9	2.9	-15.5	y	4	5					
