Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Sigmodon hispidus	41229-15005	105-110	UM1-LEFT	7716	8045	7881	2.65		2.64	2.65	0.01	2.57	102.1	113.9								5	9					
Sigmodon hispidus	41229-15007	105-110	LM1-LEFT	7716	8045	7881	2.39	2.41		2.40	0.01	2.47	74.0	74.0								5	9					
Sigmodon hispidus	41229-15008	105-110	LM1-LEFT	7716	8045	7881		2.49	2.45	2.47	0.03	2.36	81.4	81.4								5	9					
Sigmodon hispidus	41229-15009	105-110	LM1-LEFT	7716	8045	7881		2.76	2.76	2.76	0	2.66	117.6	117.6								5	9					
Sigmodon hispidus	41229-15010	105-110	LM1-LEFT	7716	8045	7881	2.51		2.5	2.51	0.01	2.37	85.3	85.3								5	9					
Sigmodon hispidus	41229-15011	105-110	UM1-RIGHT	7716	8045	7881		2.65	2.63	2.64	0.01	2.46	101.5	113.2								5	9					
Sigmodon hispidus	41229-15012	105-110	UM1-LEFT	7716	8045	7881	2.42		2.46	2.44	0.03	2.34	78.2	87.2								5	9					
Onychomys leucogaster	41229-11967	105-110	LM1-LEFT	7716	8045	7881						1.932	36.36777748				14.1	4.5	3.2			5						
Onychomys leucogaster	41229-4726	105-110	UM1-RIGHT	7716	8045	7881						2.002	40.94819653									5						
Onychomys leucogaster	41229-4727	105-110	LM1-RIGHT	7716	8045	7881						1.974	39.07032903									5						
Lepus californicus	41229-891	105-110		7716	8045	7881																5						
Lepus californicus	41229-2593	105-110		7716	8045	7881																5						
Lepus californicus	41229-10546	105-110		7716	8045	7881																5						
Lepus californicus	41229-15101	105-110		7716	8045	7881																5						
Lepus californicus	41229-15102	105-110		7716	8045	7881																5						
Lepus californicus	41229-15103	105-110		7716	8045	7881																5						
Lepus californicus	41229-15104	105-110		7716	8045	7881																5						
Lepus californicus	41229-15106	105-110		7716	8045	7881																5						
Sigmodon hispidus	41229-14918	110-115	LM1-RIGHT	8045	8375	8210	2.32	2.2	2.31	2.28	0.07		62.2	62.2	-17.4	8.0	42.4	14.5	2.9	-18.9	y	6	10					
Sigmodon hispidus	41229-14920	110-115	LM1-RIGHT	8045	8375	8210		2.33	2.29	2.31	0.03	2.45	65.2	65.2	-16.9	6.0	30.2	10.2	3.0	-18.4	y	6	10					
Sigmodon hispidus	41229-14941	110-115	UM1-LEFT	8045	8375	8210	2.38	2.45	2.31	2.38	0.07		72.0	80.3	-16.7	6.4	39.5	13.4	2.9	-18.2	y	6	10					
Sigmodon hispidus	41229-14940	110-115		8045	8375	8210									-16.2	9.3	35.2	11.5	3.1	-17.7	y	6	10					
Sigmodon hispidus	41229-14924	110-115	LM1-LEFT	8045	8375	8210	2.49		2.48	2.49	0.01	2.56	83.1	83.1	-16.2	7.3	35.7	12.3	2.9	-17.7	y	6	10					
Sigmodon hispidus	41229-14922	110-115	LM1-LEFT	8045	8375	8210		2.44	2.45	2.45	0.01	2.28	78.7	78.7	-16.0	5.1	37.3	13.0	2.9	-17.5	y	6	10					
Sigmodon hispidus	41229-14925	110-115	LM1-RIGHT	8045	8375	8210		2.61	2.58	2.60	0.02	2.49	95.9	95.9	-15.5	7.3	43.3	14.8	2.9	-17.0	y	6	10					
Sigmodon hispidus	41229-14896	110-115	LM1-LEFT	8045	8375	8210	2.63	2.7	2.66	2.66	0.04		104.5	104.5	-15.3	8.0	42.0	15.0	2.8	-16.8	y	6	10					
Sigmodon hispidus	41229-14921	110-115		8045	8375	8210									-14.2	7.0	40.0	13.9	2.9	-15.7	y	6	10					
Sigmodon hispidus	41229-14923	110-115		8045	8375	8210									-12.6	6.5	41.6	14.6	2.9	-14.1	y	6	10					
Sigmodon hispidus	41229-14895	110-115	UM1-LEFT	8045	8375	8210	2.66	2.69		2.68	0.02	2.44	106.0	118.2	-12.4	6.1	44.9	15.9	2.8	-13.9	y	6	10					
Sigmodon hispidus	41229-14897	110-115	LM1-RIGHT	8045	8375	8210		2.48	2.52	2.50	0.03	2.59	84.8	84.8	-10.9	7.9	43.6	15.5	2.8	-12.4	y	6	10					
Sigmodon hispidus	41229-14894	110-115	UM1-RIGHT	8045	8375	8210	2.32	2.37		2.35	0.04	2.44	68.6	76.5	-10.8	6.9	41.6	14.8	2.8	-12.3	y	6	10					
Sigmodon hispidus	41229-14893	110-115	UM1-LEFT	8045	8375	8210	2.7	2.78	2.73	2.74	0.04		114.3	127.5	-10.6	10.0	43.6	15.4	2.8	-12.1	y	6	10					
Sigmodon hispidus	41229-14919	110-115	LM1-LEFT	8045	8375	8210	2.47	2.5	2.54	2.50	0.04		85.1	85.1								6	10					
Sigmodon hispidus	41229-15013	110-115	UM1-RIGHT	8045	8375	8210	2.55	2.47	2.52	2.51	0.04		86.3	96.3								6	10					
Sigmodon hispidus	41229-15014	110-115	UM1-LEFT	8045	8375	8210	2.38	2.38	2.36	2.37	0.01		71.4	79.6								6	10					
Sigmodon hispidus	41229-15015	110-115	LM1-RIGHT	8045	8375	8210	2.6	2.57	2.6	2.59	0.02		95.3	95.3								6	10					
Sigmodon hispidus	41229-15016	110-115	LM1-RIGHT	8045	8375	8210	2.54	2.52	2.57	2.54	0.03		89.7	89.7								6	10					
Onychomys leucogaster	41229-11970	110-115	LM1-LEFT	8045	8375	8210						1.884	33.442571									6						
Lepus californicus	41229-933	110-115		8045	8375	8210																6						
Lepus californicus	41229-9944	110-115		8045	8375	8210																6						
Lepus californicus	41229-15117	110-115		8045	8375	8210																6						
Lepus californicus	41229-15118	110-115		8045	8375	8210																6						
Lepus californicus	41229-15119	110-115		8045	8375	8210																6						
Lepus californicus	41229-15120	110-115		8045	8375	8210																6						
Onychomys leucogaster	41229-4158	115-120	UM1-LEFT	8375	8704	8540						2.028	42.74767538		-20.6	8.1	25.1	7.7	3.2		y	6						
Lepus californicus	41229-4219	115-120		8375	8704	8540									-19.3	4.3	43.5	15.5	2.8		y	6						
Sigmodon hispidus	41229-14957	115-120	LM1-RIGHT	8375	8704	8540	2.35	2.35	2.4	2.37	0.03		70.7	70.7	-18.7	6.8	40.1	13.8	2.9	-20.2	y	6	11					
Sigmodon hispidus	41229-875	115-120		8375	8704	8540									-18.4	5.8	41.1	14.5	2.8	-19.9	y	6	11					
Sigmodon hispidus	41229-14932	115-120		8375	8704	8540									-18.1	8.1	41.9	14.4	2.9	-19.6	y	6	11					
Sigmodon hispidus	41229-14917	115-120		8375	8704	8540									-17.9	7.5	42.2	14.3	3.0	-19.4	y	6	11					
Sigmodon hispidus	41229-14927	115-120		8375	8704	8540									-17.7	5.6	36.4	12.7	2.9	-19.2	y	6	11					
Sigmodon hispidus	41229-14915	115-120	LM1-RIGHT	8375	8704	8540	2.43	2.53	2.52	2.49	0.06		84.0	84.0	-17.2	8.1	41.6	14.5	2.9	-18.7	y	6	11					
Sigmodon hispidus	41229-14914	115-120		8375	8704	8540									-16.3	5.9	41.7	14.7	2.8	-17.8	y	6	11					
Sigmodon hispidus	41229-14956	115-120		8375	8704	8540									-16.1	5.4	36.3	12.5	2.9	-17.6	y	6	11					
Sigmodon hispidus	41229-14928	115-120	LM1-RIGHT	8375	8704	8540	2.54	2.62	2.65	2.60	0.06		96.9	96.9	-16.0	5.7	38.9	13.4	2.9	-17.5	y	6	11					
Sigmodon hispidus	41229-14965	115-120		8375	8704	8540									-15.4	5.3	37.9	12.9	2.9	-16.9	y	6	11					
Sigmodon hispidus	41229-14964	115-120	LM1-LEFT	8375	8704	8540	2.5	2.46	2.48	2.48	0.02		82.5	82.5	-14.7	6.9	37.3	13.1	2.8	-16.2	y	6	11					
Sigmodon hispidus	41229-14913	115-120	LM1-RIGHT	8375	8704	8540	2.65	2.71	2.7	2.69	0.03		107.6	107.6	-14.3	6.5	42.7	14.9	2.9	-15.8	y	6	11					
Sigmodon hispidus	41229-876	115-120	UM1-LEFT	8375	8704	8540	2.27	2.31	2.36	2.31	0.05		65.6	73.2	-14.2	7.8	42.0	14.5	2.9	-15.7	y	6	11					
Sigmodon hispidus	41229-14962	115-120	UM1-RIGHT	8375	8704	8540	2.15	2.07	2.19	2.14	0.06		50.4	56.2	-14.0	7.3	36.0	12.5	2.9	-15.5	y	6	11					
Sigmodon hispidus	41229-14961	115-120	UM1-RIGHT	8375	8704	8540	2.44		2.42	2.43	0.01		77.2	86.1	-13.8	7.0	37.6	12.9	2.9	-15.3	y	6	11					
Sigmodon hispidus	41229-14929	115-120		8375	8704	8540									-12.8	7.6	22.4	7.8	2.9	-14.3	y	6	11					
Sigmodon hispidus	41229-14930	115-120		8375	8704	8540									-12.1	6.9	41.3	14.4	2.9	-13.6	y	6	11					
Sigmodon hispidus	41229-14958	115-120		8375	8704	8540									-12.1	8.4	33.4	11.3	2.9	-13.6	y	6	11					
Sigmodon hispidus	41229-14926	115-120		8375	8704	8540									-12.0	7.7	36.2	12.7	2.8	-13.5	y	6	11					
Sigmodon hispidus	41229-14960	115-120		8375	8704	8540									-11.6	7.0	36.1	12.6	2.9	-13.1	y	6	11					
Sigmodon hispidus	41229-14959	115-120	LM1-RIGHT	8375	8704	8540	2.19	2.16	2.21	2.19	0.03		54.4	54.4	-11.3	7.7	43.7	15.1	2.9	-12.8	y	6	11					
Sigmodon hispidus	41229-14916	115-120	LM1-LEFT	8375	8704	8540	2.62	2.62	2.66	2.63	0.02		100.7	100.7	-10.7	7.1	32.3	11.1	2.9	-12.2	y	6	11		-13.0	6.9		
Sigmodon hispidus	41229-14931	115-120	UM1-LEFT	8375	8704	8540	2.11	2.1	2.05	2.09	0.03		46.6	52.0	-9.2	9.0	43.3	15.0	2.9	-10.7	y	6	11					
Sigmodon hispidus	41229-877	115-120	UM1-LEFT	8375	8704	8540	2.26	2.29	2.25	2.27	0.02		61.3	68.4								6	11					
Sigmodon hispidus	41229-878	115-120	LM1-LEFT	8375	8704	8540	2.57	2.67	2.68	2.64	0.06		101.5	101.5								6	11					
Sigmodon hispidus	41229-14690	115-120	UM1-LEFT	8375	8704	8540	2.17	2.01	1.87	2.02	0.15		41.6	46.4								6	11					
Sigmodon hispidus	41229-14963	115-120	LM1-LEFT	8375	8704	8540	2.47	2.53	2.60	2.53	0.07		88.6	88.6								6	11					
Sigmodon hispidus	41229-15196	115-120	UM1-LEFT	8375	8704	8540	2.54	2.47	2.49	2.50	0.04		84.8	94.5								6	11					
Sigmodon hispidus	41229-15197	115-120	LM1-LEFT	8375	8704	8540	2.66	2.76	2.76	2.73	0.06		113.0	113.0								6	11					
Sigmodon hispidus	41229-15198	115-120	LM1-LEFT	8375	8704	8540	2.28	2.23	2.29	2.27	0.03		61.3	61.3								6	11					
Sigmodon hispidus	41229-15199	115-120	LM1-LEFT	8375	8704	8540	2.36	2.23	2.30	2.30	0.07		64.0	64.0								6	11					
Sigmodon hispidus	41229-15200	115-120	LM1-RIGHT	8375	8704	8540	2.56	2.41	2.46	2.48	0.08		82.2	82.2								6	11					
Sigmodon hispidus	41229-15201	115-120	LM1-LEFT	8375	8704	8540	2.60	2.57	2.59	2.59	0.02		94.9	94.9								6	11					
Sigmodon hispidus	41229-15202	115-120	LM1-RIGHT	8375	8704	8540	2.36	2.41	2.47	2.41	0.06		75.4	75.4								6	11					
Sigmodon hispidus	41229-15203	115-120	LM1-RIGHT	8375	8704	8540	2.63	2.72	2.73	2.69	0.06		108.5	108.5								6	11					
Sigmodon hispidus	41229-15204	115-120	LM1-LEFT	8375	8704	8540	2.50	2.30	2.41	2.40	0.10		74.4	74.4								6	11					
Sigmodon hispidus	41229-15205	115-120	LM1-RIGHT	8375	8704	8540	2.53	2.58	2.63	2.58	0.05		94.1	94.1								6	11					
Sigmodon hispidus	41229-15206	115-120	LM1-LEFT	8375	8704	8540	2.45	2.54	2.51	2.50	0.05		84.8	84.8								6	11					
Sigmodon hispidus	41229-15207	115-120	UM1-LEFT	8375	8704	8540	2.33	2.34	2.31	2.33	0.02		66.8	74.5								6	11					
Sigmodon hispidus	41229-15208	115-120	UM1-LEFT	8375	8704	8540	2.15	2.19	2.16	2.17	0.02		52.8	58.9								6	11					
Sigmodon hispidus	41229-15209	115-120	UM1-RIGHT	8375	8704	8540	2.70	2.65	2.68	2.68	0.03		106.3	118.5								6	11					
Sigmodon hispidus	41229-15210	115-120	UM1-RIGHT	8375	8704	8540	2.15	2.23	2.32	2.23	0.09		58.3	65.1								6	11					
Sigmodon hispidus	41229-15211	115-120	UM1-RIGHT	8375	8704	8540	2.28	2.26		2.27	0.01		61.6	68.7								6	11					
Sigmodon hispidus	41229-15212	115-120	UM1-RIGHT	8375	8704	8540	2.20	2.15	2.12	2.16	0.04		52.0	58.0								6	11					
Sigmodon hispidus	41229-15213	115-120	UM1-LEFT	8375	8704	8540	2.11	2.15	2.23	2.16	0.06		52.5	58.6								6	11					
Sigmodon hispidus	41229-15214	115-120	UM1-RIGHT	8375	8704	8540	2.25	2.32		2.29	0.05		62.9	62.9								6	11					
Sigmodon hispidus	41229-15215	115-120	LM1-LEFT	8375	8704	8540	2.45	2.42	2.65	2.51	0.13		85.5	85.5								6	11					
Sigmodon hispidus	41229-15216	115-120	LM1-LEFT	8375	8704	8540	2.39	2.46	2.45	2.43	0.04		77.5	77.5								6	11					
Sigmodon hispidus	41229-15217	115-120	LM1-LEFT	8375	8704	8540	2.56	2.52	2.56	2.55	0.02		90.1	90.1								6	11					
Sigmodon hispidus	41229-15218	115-120	LM1-LEFT	8375	8704	8540	2.57	2.55	2.73	2.62	0.10		98.6	98.6								6	11					
Sigmodon hispidus	41229-15219	115-120	UM1-RIGHT	8375	8704	8540	2.17	2.12		2.15	0.04		51.1	57.0								6	11					
Sigmodon hispidus	41229-15220	115-120	LM1-RIGHT	8375	8704	8540	2.08	2.34	2.16	2.19	0.13		55.0	55.0								6	11					
Sigmodon hispidus	41229-15221	115-120	LM1-LEFT	8375	8704	8540	2.63	2.67		2.65	0.03		102.8	102.8								6	11					
Onychomys leucogaster	41229-4159	115-120	UM1-LEFT	8375	8704	8540						1.864	32.27388407									6						
Onychomys leucogaster	41229-4167	115-120	no m1	8375	8704	8540																6						
Lepus californicus	41229-4218	115-120		8375	8704	8540																6						
Lepus californicus	41229-15116	115-120		8375	8704	8540																6						
Sigmodon hispidus	41229-4895	120-125	UM1-RIGHT	8704	9033	8869		2.15	2.25	2.20	0.07		55.5	61.9	-20.9	4.9	38.7	13.0	3.0	-22.4	y	6	12					
Lepus californicus	41229-5011	120-125		8704	9033	8869									-20.8	3.9	42.6	15.0	2.8		y	6						
Sigmodon hispidus	41229-6539	120-125		8704	9033	8869									-19.5	6.4	32.9	11.3	2.9	-21.0	y	6	12					
Onychomys leucogaster	41229-6554	120-125	LM1-LEFT	8704	9033	8869						1.769	27.11014811		-18.5	10.2	30.9	11.0	2.8		y	6						
Sigmodon hispidus	41229-6536	120-125	UM1-RIGHT	8704	9033	8869		2.48	2.46	2.47	0.01	2.62	81.4	90.8	-17.7	4.2	39.5	13.8	2.9	-19.2	y	6	12					
Onychomys leucogaster	41229-4867	120-125	LM1-RIGHT	8704	9033	8869						1.684	23.00664015		-17.2	8.4	27.7	9.7	2.9		y	6						
Sigmodon hispidus	41229-6534	120-125	UM1-LEFT	8704	9033	8869	2.53		2.51	2.52	0.01	2.46	87.0	97.0	-16.1	6.9	41.0	14.2	2.9	-17.6	y	6	12					
Sigmodon hispidus	41229-6540	120-125	LM1--LEFT	8704	9033	8869	2.32	2.3		2.31	0.01	2.36	65.2	65.2	-15.2	6.8	33.1	11.6	2.8	-16.7	y	6	12					
Lepus californicus	41229-15112	120-125		8704	9033	8869									-14.6	7.2	45.6	16.5	2.8		y	6						
Sigmodon hispidus	41229-6533	120-125	UM1-LEFT	8704	9033	8869		2.7	2.76	2.73	0.04	2.58	113.4	126.5	-13.3	6.5	36.3	12.7	2.9	-14.8	y	6	12					
Sigmodon hispidus	41229-6537	120-125	LM1-LEFT	8704	9033	8869	2.67		2.6	2.64	0.05		100.9	100.9	-13.1	8.1	35.3	12.2	2.9	-14.6	y	6	12					
Sigmodon hispidus	41229-14967	120-125		8704	9033	8869									-13.1	5.9	36.7	12.6	2.9	-14.6	y	6	12					
Sigmodon hispidus	41229-6541	120-125	LM1-RIGHT	8704	9033	8869	2.52		2.49	2.51	0.02	2.58	85.3	85.3	-11.8	8.6	28.9	9.7	3.0	-13.3	y	6	12					
Sigmodon hispidus	41229-14968	120-125		8704	9033	8869									-10.8	8.7	41.4	14.2	2.9	-12.3	y	6	12					
Sigmodon hispidus	41229-14966	120-125		8704	9033	8869									-9.6	9.4	42.6	14.8	2.9	-11.1	y	6	12					
Sigmodon hispidus	41229-4896	120-125	UM1-LEFT	8704	9033	8869	2.57	2.57		2.57	0	2.63	92.9	103.6								6	12					
Sigmodon hispidus	41229-4897	120-125	LM1-LEFT	8704	9033	8869	2.47	2.53		2.50	0.04		84.8	84.8								6	12		-16.1	6.5		
Sigmodon hispidus	41229-4898	120-125	UM1-RIGHT	8704	9033	8869		2.38	2.34	2.36	0.03		70.0	78.1								6	12					
Sigmodon hispidus	41229-4899	120-125	UM1-RIGHT	8704	9033	8869	2.63	2.58		2.61	0.04		97.1	108.3								6	12					
Sigmodon hispidus	41229-4902	120-125	UM1-RIGHT	8704	9033	8869		2.3	2.27	2.29	0.02	2.36	62.9	70.2								6	12					
Sigmodon hispidus	41229-6538	120-125	UM1-RIGHT	8704	9033	8869		2.50	2.42	2.46	0.06		80.4	89.6								6	12					
Sigmodon hispidus	41229-14606	120-125	UM1-LEFT	8704	9033	8869	2.47		2.41	2.44	0.04	2.56	78.2	87.2								6	12					
Sigmodon hispidus	41229-14607	120-125	UM1-RIGHT	8704	9033	8869	2.17		2.14	2.16	0.02	2.08	51.8	57.8								6	12					
Sigmodon hispidus	41229-14608	120-125	LM1-LEFT	8704	9033	8869	2.77	2.78		2.78	0.01	2.54	119.7	119.7								6	12		-15.5396	6.104122222		
Onychomys leucogaster	41229-4863	120-125	LM1-LEFT	8704	9033	8869						1.726	24.97537288									6						
Onychomys leucogaster	41229-4864	120-125	LM1-RIGHT	8704	9033	8869						1.980	39.46754405									6						
Onychomys leucogaster	41229-4865	120-125	LM1-RIGHT	8704	9033	8869						1.782	27.77988134									6						
Onychomys leucogaster	41229-4866	120-125	LM1-LEFT	8704	9033	8869						1.752	26.25150367									6						
Onychomys leucogaster	41229-6555	120-125	LM1-RIGHT	8704	9033	8869						1.726	24.97537288									6						
Lepus californicus	41229-4871	120-125		8704	9033	8869																6						
Lepus californicus	41229-5009	120-125		8704	9033	8869																6						
Lepus californicus	41229-5010	120-125		8704	9033	8869																6						
Lepus californicus	41229-15111	120-125		8704	9033	8869																6						
Onychomys leucogaster	41229-174	120-135	no m1	8704	9692	9198									-20.8	8.0	35.1	12.5	2.8		y	6						
Onychomys leucogaster	41229-15077	120-135	no m1	8704	9692	9198									-18.6	9.4	40.2	14.7	2.7		y	6						
Onychomys leucogaster	41229-15079	120-135	no m1	8704	9692	9198									-18.3	9.1	33.5	12.1	2.8		y	6						
Onychomys leucogaster	41229-172	120-135	LM1-LEFT	8704	9692	9198						1.768	27.05910314		-17.6	10.5	33.4	11.3	3.0		y	6						
Onychomys leucogaster	41229-15078	120-135	no m1	8704	9692	9198									-17.5	9.4	32.5	11.6	2.8		y	6						
Onychomys leucogaster	41229-15080	120-135	no m1	8704	9692	9198									-16.7	9.9	43.8	15.8	2.8		y	6						
Onychomys leucogaster	41229-15083	120-135	no m1	8704	9692	9198									-14.3	10.1	39.0	13.6	2.9		y	6						
Onychomys leucogaster	41229-15081	120-135	UM1-RIGHT	8704	9692	9198						1.969	38.74146104									6						
Onychomys leucogaster	41229-15082	120-135	LM1-RIGHT	8704	9692	9198						1.781	27.72795668									6						
Onychomys leucogaster	41229-173	120-135	no m1	8704	9692	9198																6						
Sigmodon hispidus	41229-14547	125-130	UM1-LEFT	9033	9363	9198	2.22		2.17	2.20	0.04	2.32	55.1	61.5	-18.9	6.8	38.4	13.1	2.9	-20.4	y	6	13					
Sigmodon hispidus	41229-14972	125-130		9033	9363	9198									-18.6	6.7	39.5	13.8	2.9	-20.1	y	6	13					
Sigmodon hispidus	41229-14543	125-130	UM1-LEFT	9033	9363	9198	2.35	2.3		2.33	0.04	2.24	66.7	74.4	-17.7	6.4	41.2	14.3	2.9	-19.2	y	6	13					
Sigmodon hispidus	41229-14541	125-130	LM1--LEFT	9033	9363	9198	2.38	2.36		2.37	0.01	2.49	71.0	71.0	-17.3	5.8	37.1	12.7	2.9	-18.8	y	6	13					
Sigmodon hispidus	41229-14551	125-130	UM1-LEFT	9033	9363	9198		2.35	2.36	2.36	0.01	2.49	69.5	77.5	-17.2	6.1	41.1	14.2	2.9	-18.7	y	6	13					
Sigmodon hispidus	41229-14583	125-130	LM1-LEFT	9033	9363	9198	2.76	2.77		2.77	0.01	2.79	118.3	118.3	-16.3	7.2	34.0	11.6	2.9	-17.8	y	6	13					
Sigmodon hispidus	41229-14975	125-130		9033	9363	9198									-15.6	7.3	40.3	13.7	2.9	-17.1	y	6	13					
Sigmodon hispidus	41229-14550	125-130	LM1-RIGHT	9033	9363	9198		2.33	2.29	2.31	0.03	2.42	65.2	65.2	-14.5	6.4	41.2	14.2	2.9	-16.0	y	6	13					
Lepus californicus	41229-15113	125-130		9033	9363	9198									-14.3	5.7	29.6	10.5	2.8		y	6						
Sigmodon hispidus	41229-14544	125-130	UM1-RIGHT	9033	9363	9198		2.23	2.23	2.23	0	2.53	58.1	64.8	-14.0	7.2	40.9	13.7	3.0	-15.5	y	6	13					
Sigmodon hispidus	41229-14974	125-130		9033	9363	9198									-13.4	7.8	37.1	12.9	2.9	-14.9	y	6	13					
Sigmodon hispidus	41229-14973	125-130		9033	9363	9198									-13.4	5.0	42.0	14.6	2.9	-14.9	y	6	13					
Sigmodon hispidus	41229-14546	125-130	UM1-LEFT	9033	9363	9198		2.56	2.53	2.55	0.02	2.63	89.9	100.3	-13.3	6.0	42.4	14.6	2.9	-14.8	y	6	13					
Sigmodon hispidus	41229-14552	125-130	UM1-RIGHT	9033	9363	9198		2.22	2.24	2.23	0.01	2.29	58.1	64.8	-12.9	7.1	34.7	11.5	3.0	-14.4	y	6	13					
Sigmodon hispidus	41229-14584	125-130	LM1-RIGHT	9033	9363	9198	2.56		2.6	2.58	0.03	2.47	94.1	94.1	-11.6	7.5	39.8	13.9	2.9	-13.1	y	6	13					
Sigmodon hispidus	41229-14540	125-130	LM1--LEFT	9033	9363	9198	2.69		2.77	2.73	0.06	2.84	113.4	113.4	-10.1	8.0	39.0	13.2	3.0	-11.6	y	6	13					
Sigmodon hispidus	41229-14548	125-130	UM1-LEFT	9033	9363	9198	2.4	2.45	2.51	2.45	0.06		79.6	88.8								6	13					
Sigmodon hispidus	41229-14549	125-130	UM1-RIGHT	9033	9363	9198		2.34	2.33	2.34	0.01	2.39	67.6	75.4								6	13					
Sigmodon hispidus	41229-14553	125-130	UM1-LEFT	9033	9363	9198	2.25		2.21	2.23	0.03	2.36	58.1	64.8								6	13					
Sigmodon hispidus	41229-14554	125-130	UM1-LEFT	9033	9363	9198		2.42	2.43	2.43	0.01	2.47	76.6	85.4								6	13					
Sigmodon hispidus	41229-14555	125-130	UM1-LEFT	9033	9363	9198		2.23	2.22	2.23	0.01		57.6	64.3								6	13					
Sigmodon hispidus	41229-14556	125-130	UM1-LEFT	9033	9363	9198		2.23	2.21	2.22	0.01	2.29	57.2	63.8								6	13					
Sigmodon hispidus	41229-14557	125-130	UM1-RIGHT	9033	9363	9198	2.51		2.54	2.53	0.02	2.6	87.6	97.7								6	13					
Sigmodon hispidus	41229-14559	125-130	UM1-RIGHT	9033	9363	9198	2.4	2.37		2.39	0.02	2.32	72.5	80.9								6	13					
Sigmodon hispidus	41229-14560	125-130	UM1-RIGHT	9033	9363	9198		2.25	2.18	2.22	0.05	2.43	56.8	63.4								6	13		-14.65984444	6.947352121		
Sigmodon hispidus	41229-14586	125-130	UM1-RIGHT	9033	9363	9198		2.57	2.61	2.59	0.03	2.68	95.3	106.3								6	13					
Sigmodon hispidus	41229-14587	125-130	UM1-RIGHT	9033	9363	9198	2.48		2.53	2.51	0.04	2.61	85.3	95.2								6	13					
Lepus californicus	41229-15109	125-130		9033	9363	9198																6						
Lepus californicus	41229-15110	125-130		9033	9363	9198																6						
Lepus californicus	41229-15114	125-130		9033	9363	9198																6						
Lepus californicus	41229-15115	125-130		9033	9363	9198																6						
Sigmodon hispidus	41229-7101	130-135	UM1-RIGHT	9363	9692	9528	2.18	2.17		2.18	0.01	2.32	53.5	59.7	-20.0	4.5	41.7	14.4	2.9	-21.5	y	6	14					
Sigmodon hispidus	41229-14969	130-135	LM1-RIGHT	9363	9692	9528	2.54	2.53		2.54	0.01	2.47	88.7	88.7	-18.1	4.5	31.0	10.7	2.9	-19.6	y	6	14					
Sigmodon hispidus	41229-14575	130-135	UM1-LEFT	9363	9692	9528	2.48	2.46		2.47	0.01	2.56	81.4	90.8	-17.9	5.6	28.7	9.6	3.0	-19.4	y	6	14					
Sigmodon hispidus	41229-14509	130-135	LM1-RIGHT	9363	9692	9528	2.33	2.41		2.37	0.06	2.21	71.0	71.0	-17.1	7.4	39.9	13.9	2.9	-18.6	y	6	14					
Sigmodon hispidus	41229-14971	130-135		9363	9692	9528									-17.0	7.3	33.9	11.4	3.0	-18.5	y	6	14					
Sigmodon hispidus	41229-14534	130-135	LM1-LEFT	9363	9692	9528		2.63	2.62	2.63	0.01	2.58	99.6	99.6	-16.8	6.6	34.1	11.4	3.0	-18.3	y	6	14					
Sigmodon hispidus	41229-14613	130-135	LM1-RIGHT	9363	9692	9528	2.55		2.57	2.56	0.01	2.51	91.7	91.7	-16.4	7.3	20.0	6.5	3.1	-17.9	y	6	14					
Sigmodon hispidus	41229-14531	130-135	LM1-LEFT	9363	9692	9528	2.71	2.72		2.72	0.01	2.81	111.4	111.4	-16.3	9.3	40.2	13.9	2.9	-17.8	y	6	14					
Sigmodon hispidus	41229-14508	130-135	LM1-RIGHT	9363	9692	9528	2.52	2.53		2.53	0.01		87.6	87.6	-14.5	6.3	40.8	13.7	3.0	-16.0	y	6	14		-12.8	7.3		
Sigmodon hispidus	41229-14970	130-135	LM1-RIGHT	9363	9692	9528		2.61	2.59	2.60	0.01	2.5	96.5	96.5	-14.1	6.0	42.3	14.8	2.9	-15.6	y	6	14					
Sigmodon hispidus	41229-14612	130-135	UM1-LEFT	9363	9692	9528		2.48	2.51	2.50	0.02	2.48	84.2	93.9	-13.8	8.6	16.1	5.4	3.0	-15.3	y	6	14					
Sigmodon hispidus	41229-948	130-135	LM1-RIGHT	9363	9692	9528	2.53	2.51		2.52	0.01	2.61	87.0	87.0	-13.4	6.9	41.9	14.0	3.0	-14.9	y	6	14					
Sigmodon hispidus	41229-14611	130-135	LM1-RIGHT	9363	9692	9528		2.52	2.53	2.53	0.01	2.47	87.6	87.6	-11.9	8.8	32.2	11.1	2.9	-13.4	y	6	14					
Sigmodon hispidus	41229-7102	130-135	LM1--LEFT	9363	9692	9528	2.52	2.5	2.51	2.51	0.01		85.9	85.9								6	14					
Sigmodon hispidus	41229-14532	130-135	LM1-LEFT	9363	9692	9528		2.68	2.71	2.70	0.02	2.55	108.7	108.7								6	14					
Sigmodon hispidus	41229-14573	130-135	UM1-RIGHT	9363	9692	9528	2.37	2.35		2.36	0.01	2.44	70.0	78.1								6	14					
